#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
0,.1889117,.0000556,0,0
0,.27378508,.0000413,0,0
0,.29568789,.0000392,0,0
0,.38329911,.0000344,0,0
0,.47091034,.0000298,0,0
0,.60232717,.0000247,0,0
0,.76659822,.0000205,0,0
0,.85968515,.0000186,0,0
0,.87611225,.0000184,0,0
0,.93634497,0,.0000199,0
0,1.1252567,.0000138,0,1
0,1.1498973,.0000135,0,1
0,1.1663244,.0000134,0,1
0,1.1690623,.0000133,0,1
0,1.2183436,.0000128,0,1
0,1.24846,.0000125,0,1
0,1.2703628,.0000123,0,1
0,1.3086927,.000012,0,1
0,1.3333333,0,.0000135,1
0,1.338809,0,.0000135,1
0,1.3689254,.0000121,0,1
0,1.3826146,0,.0000138,1
0,1.3853525,.000012,0,1
0,1.4072553,.0000119,0,1
0,1.5797399,.000011,0,1
0,1.6016427,.0000109,0,1
0,1.6098563,.0000109,0,1
0,1.6317591,0,.0000123,1
0,1.6399726,.0000108,0,1
0,1.650924,.0000107,0,1
0,1.6810404,0,.000012,1
0,1.7577002,.0000102,0,1
0,1.7686516,.0000102,0,1
0,1.8507871,9.87e-06,0,1
0,1.8863792,0,.000011,1
0,1.8973306,9.71e-06,0,1
0,1.9137577,9.63e-06,0,1
0,1.9548255,9.42e-06,0,1
0,1.9739904,9.36e-06,0,1
0,1.982204,9.35e-06,0,1
0,2.0205339,0,.0000315,2
0,2.0506502,8.74e-06,0,2
0,2.1054073,0,9.62e-06,2
0,2.201232,8.19e-06,0,2
0,2.2258727,0,9.14e-06,2
0,2.2505133,8.01e-06,0,2
0,2.2587269,7.99e-06,0,2
0,2.2696783,7.97e-06,0,2
0,2.3025325,.0000158,0,2
0,2.3189596,7.83e-06,0,2
0,2.3737166,0,9.04e-06,2
0,2.3791923,0,9.03e-06,2
0,2.384668,7.98e-06,0,2
0,2.4120465,0,8.95e-06,2
0,2.4476386,7.87e-06,0,2
0,2.4558522,7.85e-06,0,2
0,2.4914442,7.78e-06,0,2
0,2.5160849,0,8.73e-06,2
0,2.5270363,7.69e-06,0,2
0,2.5516769,7.63e-06,0,2
0,2.5708419,7.60e-06,0,2
0,2.5817933,7.59e-06,0,2
