#
# QRISK-lifetime data tables.
# Copyright 2010 ClinRisk Ltd. 
# 
# This work is licenced under the Creative Commons Attribution-NoDerivs 2.0 UK: England & Wales License. 
# To view a copy of this licence, visit http://creativecommons.org/licenses/by-nd/2.0/uk/ or send a letter to Creative Commons, 171 Second Street, Suite 300, San Francisco, California 94105, USA.
#
sex1,_t,basehaz_death_0_30,basehaz_cvd_0_30,timeyears
1,.05201916,.0001132,0,0
1,.20533881,0,.0000568,0
1,.24914442,.0000403,0,0
1,.32032854,0,.0000399,0
1,.41615332,0,.0000346,0
1,.43805613,.0000284,0,0
1,.51471595,.0000253,0,0
1,.52566735,0,.0000292,0
1,.55030801,.0000237,0,0
1,.57494867,.0000232,0,0
1,.65160849,.0000211,0,0
1,.69815195,.0000202,0,0
1,.70362765,.00002,0,0
1,.76386037,.0000186,0,0
1,.82956879,.0000174,0,0
1,.83230664,0,.0000202,0
1,.862423,.0000168,0,0
1,.8843258,.0000165,0,0
1,.90349076,.0000162,0,0
1,.94182067,.0000156,0,0
1,.97467488,.000015,0,0
1,.97741273,.000015,0,0
1,.98562628,.000015,0,0
1,1.0376454,.0000134,0,1
1,1.0485969,.0000133,0,1
1,1.0677618,.0000131,0,1
1,1.0924025,.0000128,0,1
1,1.1252567,.0000124,0,1
1,1.1362081,.0000123,0,1
1,1.1937029,.0000117,0,1
1,1.21013,.0000116,0,1
1,1.2320329,.0000113,0,1
1,1.2402464,0,.000013,1
1,1.2457221,0,.000013,1
1,1.2566735,.0000111,0,1
1,1.2676249,.000011,0,1
1,1.2813142,0,.0000126,1
1,1.3607118,.0000109,0,1
1,1.3716632,0,.0000125,1
1,1.3853525,.0000107,0,1
1,1.4209446,.0000106,0,1
1,1.4373717,0,.0000121,1
1,1.4428474,.0000105,0,1
1,1.4455852,.0000105,0,1
1,1.4647502,.0000104,0,1
1,1.486653,.0000103,0,1
1,1.4893908,.0000102,0,1
1,1.5277207,.00001,0,1
1,1.5550992,9.88e-06,0,1
1,1.5660507,.0000197,0,1
1,1.5852156,9.75e-06,0,1
1,1.6016427,9.69e-06,0,1
1,1.6290212,9.57e-06,0,1
1,1.6427105,9.51e-06,0,1
1,1.6591376,9.45e-06,0,1
1,1.6646133,9.43e-06,0,1
1,1.6810404,9.39e-06,0,1
1,1.724846,0,.0000106,1
1,1.7905544,0,.0000205,1
1,1.8234086,8.82e-06,0,1
1,1.8316222,8.79e-06,0,1
1,1.8480493,8.73e-06,9.99e-06,1
1,1.8699521,8.66e-06,0,1
1,1.8726899,8.65e-06,0,1
